metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,946050152
DS_Tim,1,likely_unaltered,none_found,TRUE,946050152
DS_Mag_50,1,likely_unaltered,none_found,FALSE,946050152
DS_Mag_90,1,likely_unaltered,none_found,TRUE,946050152
FA_Mag,1,likely_unaltered,none_found,FALSE,946050152
FA_Tim,1,likely_unaltered,none_found,TRUE,946050152
SP_Dur,1,likely_unaltered,none_found,TRUE,946050152
SP_Mag,1,likely_unaltered,none_found,TRUE,946050152
SP_Tim,1,likely_unaltered,none_found,TRUE,946050152
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,946050152
Wet_BFL_Mag_10,-1,likely_altered,high,FALSE,946050152
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,946050152
Wet_Tim,1,likely_unaltered,none_found,FALSE,946050152
Peak_10,1,likely_unaltered,none_found,TRUE,946050152
Peak_2,1,likely_unaltered,none_found,TRUE,946050152
Peak_5,1,likely_unaltered,none_found,TRUE,946050152
