Power.avg,Period,Power.avg.pval
0.007516190665520862,0.06666666666666667,1
0.009117988561065443,0.06901766158942517,1
0.010628503275400365,0.0714515641690862,1
0.011956864096460025,0.07397129813785633,1
0.013064706980697078,0.07657989033313566,1
0.013973770245472684,0.07928047433351472,1
0.014750728783540532,0.08207629422299442,1
0.015478458298270827,0.08497070848795081,1
0.016228806910841557,0.08796719405152627,1
0.017047492581752303,0.09106935045029302,1
0.0179524086597204,0.09428090415820632,1
0.018940378994038713,0.09760571306304168,1
0.019996749351987076,0.1010477711006932,1
0.02110416964451635,0.1046112130529001,1
0.022248605327150613,0.10830031951416473,1
0.023421853207556225,0.11211952203382859,1
0.024621477961071628,0.11607340843948322,1
0.02585082962442944,0.1201667283481107,1
0.027121880289629037,0.12440439887157431,1
0.028460498018903893,0.12879151052331275,1
0.02990888852053012,0.13333333333333333,1
0.03151810798470206,0.13803532317885034,1
0.033328843930310645,0.1429031283381724,1
0.03534910512898411,0.14794259627571266,1
0.03754489610359684,0.1531597806662713,1
0.039856352143254274,0.15856094866702944,1
0.042236974308353256,0.16415258844598885,1
0.04469725037700387,0.16994141697590162,1
0.047328972791446836,0.1759343881030526,1
0.050297678179478195,0.18213870090058606,1
0.05380906624618426,0.18856180831641264,1
0.058066533501255346,0.19521142612608336,1
0.0632346074952506,0.2020955422013864,1
0.06941330229535954,0.2092224261058002,1
0.07662152272345812,0.21660063902832946,1
0.08478768045142637,0.22423904406765718,1
0.09374969840893524,0.23214681687896643,1
0.10326993987909663,0.2403334566962214,1
0.11306903129898269,0.24880879774314865,1
0.12287277584413678,0.2575830210466255,1
0.13245269881194738,0.26666666666666666,1
0.14163892061261632,0.27607064635770073,1
0.1503056094881585,0.2858062566763448,1
0.15835943037303205,0.29588519255142526,1
0.16576637866212143,0.3063195613325426,1
0.1726180511103748,0.3171218973340589,1
0.17919129732488642,0.32830517689197775,1
0.18593657361264354,0.33988283395180324,1
0.1933584802349631,0.35186877620610524,1
0.20181361815935236,0.36427740180117213,1
0.21131364477662398,0.3771236166328253,1
0.2214473196968482,0.3904228522521668,1
0.23149951977707742,0.4041910844027728,1
0.2407556824961344,0.41844485221160044,1
0.24887757677988193,0.4332012780566589,1
0.2561735079118904,0.44847808813531437,1
0.26360629902267524,0.464293633757933,1
0.2724961212325656,0.4806669133924428,1
0.28403497980489717,0.49761759548629736,1
0.2988394402538358,0.515166042093251,1
0.31674987481728334,0.5333333333333333,1
